=== REKAP PEMANTAUAN ISPU SELURUH KOTA KALIMANTAN ===
Waktu Unduh,06 September 2026 02:01:58

Kota,Index ISPU Saat Ini,Status Utama,Polutan Utama,Jam Histori,Tanggal Histori,ISPU Histori,Status Histori
Banjarmasin,55,SEDANG,PM 2.5,21:00,05 September 2026,55,SEDANG
Banjarmasin,55,SEDANG,PM 2.5,20:00,05 September 2026,53,SEDANG
Banjarmasin,55,SEDANG,PM 2.5,19:00,05 September 2026,55,SEDANG
Banjarbaru,55,SEDANG,PM 10,02:00,06 September 2026,53,SEDANG
Banjarbaru,55,SEDANG,PM 10,01:00,06 September 2026,56,SEDANG
Banjarbaru,55,SEDANG,PM 10,00:00,06 September 2026,56,SEDANG
Banjarbaru,55,SEDANG,PM 10,23:00,05 September 2026,54,SEDANG
Banjarbaru,55,SEDANG,PM 10,22:00,05 September 2026,55,SEDANG
Banjarbaru,55,SEDANG,PM 10,21:00,05 September 2026,58,SEDANG
Banjarbaru,55,SEDANG,PM 10,20:00,05 September 2026,60,SEDANG
Banjarbaru,55,SEDANG,PM 10,19:00,05 September 2026,59,SEDANG
Pontianak,62,SEDANG,PM 2.5,02:00,06 September 2026,61,SEDANG
Pontianak,62,SEDANG,PM 2.5,01:00,06 September 2026,62,SEDANG
Pontianak,62,SEDANG,PM 2.5,00:00,06 September 2026,60,SEDANG
Pontianak,62,SEDANG,PM 2.5,23:00,05 September 2026,63,SEDANG
Pontianak,62,SEDANG,PM 2.5,22:00,05 September 2026,62,SEDANG
Pontianak,62,SEDANG,PM 2.5,21:00,05 September 2026,61,SEDANG
Pontianak,62,SEDANG,PM 2.5,20:00,05 September 2026,60,SEDANG
Pontianak,62,SEDANG,PM 2.5,19:00,05 September 2026,63,SEDANG
Singkawang,63,SEDANG,PM 10,02:00,06 September 2026,61,SEDANG
Singkawang,63,SEDANG,PM 10,01:00,06 September 2026,61,SEDANG
Singkawang,63,SEDANG,PM 10,00:00,06 September 2026,61,SEDANG
Singkawang,63,SEDANG,PM 10,23:00,05 September 2026,64,SEDANG
Singkawang,63,SEDANG,PM 10,22:00,05 September 2026,62,SEDANG
Singkawang,63,SEDANG,PM 10,21:00,05 September 2026,60,SEDANG
Singkawang,63,SEDANG,PM 10,20:00,05 September 2026,60,SEDANG
Singkawang,63,SEDANG,PM 10,19:00,05 September 2026,61,SEDANG
Palangka Raya,63,SEDANG,PM 10,02:00,06 September 2026,65,SEDANG
Palangka Raya,63,SEDANG,PM 10,01:00,06 September 2026,64,SEDANG
Palangka Raya,63,SEDANG,PM 10,00:00,06 September 2026,66,SEDANG
Palangka Raya,63,SEDANG,PM 10,23:00,05 September 2026,67,SEDANG
Palangka Raya,63,SEDANG,PM 10,22:00,05 September 2026,67,SEDANG
Palangka Raya,63,SEDANG,PM 10,21:00,05 September 2026,68,SEDANG
Palangka Raya,63,SEDANG,PM 10,20:00,05 September 2026,69,SEDANG
Palangka Raya,63,SEDANG,PM 10,19:00,05 September 2026,68,SEDANG
Tarakan,71,SEDANG,PM 2.5,02:00,06 September 2026,70,SEDANG
Tarakan,71,SEDANG,PM 2.5,01:00,06 September 2026,68,SEDANG
Tarakan,71,SEDANG,PM 2.5,00:00,06 September 2026,70,SEDANG
Tarakan,71,SEDANG,PM 2.5,23:00,05 September 2026,73,SEDANG
Tarakan,71,SEDANG,PM 2.5,22:00,05 September 2026,75,SEDANG
Tarakan,71,SEDANG,PM 2.5,21:00,05 September 2026,77,SEDANG
Tarakan,71,SEDANG,PM 2.5,20:00,05 September 2026,78,SEDANG
Tarakan,71,SEDANG,PM 2.5,19:00,05 September 2026,78,SEDANG
